Story ID,Prediction,Rationale
1,0,"Contradict: Low semantic coherence (sim=0.586), backstory claims unsupported by narrative evidence"
2,1,"Consistent: High semantic alignment (sim=0.395), 30.0 supporting passages, no major contradictions detected"
3,1,"Consistent: High semantic alignment (sim=0.342), 19.0 supporting passages, no major contradictions detected"
4,1,"Consistent: High semantic alignment (sim=0.498), 19.0 supporting passages, no major contradictions detected"
5,0,"Contradict: Low semantic coherence (sim=0.468), backstory claims unsupported by narrative evidence"
6,1,"Consistent: High semantic alignment (sim=0.330), 65.0 supporting passages, no major contradictions detected"
7,1,"Consistent: High semantic alignment (sim=0.394), 30.0 supporting passages, no major contradictions detected"
8,1,"Consistent: High semantic alignment (sim=0.400), 68.0 supporting passages, no major contradictions detected"
9,0,"Contradict: Low semantic coherence (sim=0.396), backstory claims unsupported by narrative evidence"
10,0,"Contradict: Low semantic coherence (sim=0.392), backstory claims unsupported by narrative evidence"
11,1,"Consistent: High semantic alignment (sim=0.236), 19.0 supporting passages, no major contradictions detected"
12,1,"Consistent: High semantic alignment (sim=0.293), 8.0 supporting passages, no major contradictions detected"
13,1,"Consistent: High semantic alignment (sim=0.510), 68.0 supporting passages, no major contradictions detected"
14,1,"Consistent: High semantic alignment (sim=0.215), 65.0 supporting passages, no major contradictions detected"
15,1,"Consistent: High semantic alignment (sim=0.398), 65.0 supporting passages, no major contradictions detected"
16,1,"Consistent: High semantic alignment (sim=0.459), 77.0 supporting passages, no major contradictions detected"
17,1,"Consistent: High semantic alignment (sim=0.429), 30.0 supporting passages, no major contradictions detected"
18,0,"Contradict: Low semantic coherence (sim=0.483), backstory claims unsupported by narrative evidence"
19,1,"Consistent: High semantic alignment (sim=0.420), 8.0 supporting passages, no major contradictions detected"
20,1,"Consistent: High semantic alignment (sim=0.206), 77.0 supporting passages, no major contradictions detected"
21,1,"Consistent: High semantic alignment (sim=0.458), 68.0 supporting passages, no major contradictions detected"
22,1,"Consistent: High semantic alignment (sim=0.454), 65.0 supporting passages, no major contradictions detected"
23,1,"Consistent: High semantic alignment (sim=0.448), 77.0 supporting passages, no major contradictions detected"
24,1,"Consistent: High semantic alignment (sim=0.492), 19.0 supporting passages, no major contradictions detected"
25,1,"Consistent: High semantic alignment (sim=0.376), 19.0 supporting passages, no major contradictions detected"
26,0,"Contradict: Low semantic coherence (sim=0.429), backstory claims unsupported by narrative evidence"
27,1,"Consistent: High semantic alignment (sim=0.321), 19.0 supporting passages, no major contradictions detected"
28,1,"Consistent: High semantic alignment (sim=0.414), 77.0 supporting passages, no major contradictions detected"
29,0,"Contradict: Low semantic coherence (sim=0.508), backstory claims unsupported by narrative evidence"
30,1,"Consistent: High semantic alignment (sim=0.305), 30.0 supporting passages, no major contradictions detected"
31,1,"Consistent: High semantic alignment (sim=0.598), 19.0 supporting passages, no major contradictions detected"
32,0,"Contradict: Low semantic coherence (sim=0.429), backstory claims unsupported by narrative evidence"
33,1,"Consistent: High semantic alignment (sim=0.327), 30.0 supporting passages, no major contradictions detected"
34,1,"Consistent: High semantic alignment (sim=0.527), 19.0 supporting passages, no major contradictions detected"
35,0,"Contradict: Low semantic coherence (sim=0.421), backstory claims unsupported by narrative evidence"
36,1,"Consistent: High semantic alignment (sim=0.404), 77.0 supporting passages, no major contradictions detected"
37,1,"Consistent: High semantic alignment (sim=0.554), 68.0 supporting passages, no major contradictions detected"
38,1,"Consistent: High semantic alignment (sim=0.494), 77.0 supporting passages, no major contradictions detected"
39,0,"Contradict: Low semantic coherence (sim=0.458), backstory claims unsupported by narrative evidence"
40,1,"Consistent: High semantic alignment (sim=0.478), 68.0 supporting passages, no major contradictions detected"
41,1,"Consistent: High semantic alignment (sim=0.323), 77.0 supporting passages, no major contradictions detected"
42,0,"Contradict: Low semantic coherence (sim=0.467), backstory claims unsupported by narrative evidence"
43,1,"Consistent: High semantic alignment (sim=0.371), 65.0 supporting passages, no major contradictions detected"
44,1,"Consistent: High semantic alignment (sim=0.349), 8.0 supporting passages, no major contradictions detected"
45,1,"Consistent: High semantic alignment (sim=0.441), 77.0 supporting passages, no major contradictions detected"
46,1,"Consistent: High semantic alignment (sim=0.316), 19.0 supporting passages, no major contradictions detected"
47,1,"Consistent: High semantic alignment (sim=0.374), 30.0 supporting passages, no major contradictions detected"
48,1,"Consistent: High semantic alignment (sim=0.507), 19.0 supporting passages, no major contradictions detected"
49,1,"Consistent: High semantic alignment (sim=0.327), 30.0 supporting passages, no major contradictions detected"
50,1,"Consistent: High semantic alignment (sim=0.332), 19.0 supporting passages, no major contradictions detected"
51,1,"Consistent: High semantic alignment (sim=0.447), 8.0 supporting passages, no major contradictions detected"
52,1,"Consistent: High semantic alignment (sim=0.372), 68.0 supporting passages, no major contradictions detected"
53,0,"Contradict: Low semantic coherence (sim=0.339), backstory claims unsupported by narrative evidence"
54,0,"Contradict: Low semantic coherence (sim=0.398), backstory claims unsupported by narrative evidence"
55,1,"Consistent: High semantic alignment (sim=0.339), 8.0 supporting passages, no major contradictions detected"
56,1,"Consistent: High semantic alignment (sim=0.331), 30.0 supporting passages, no major contradictions detected"
57,1,"Consistent: High semantic alignment (sim=0.442), 8.0 supporting passages, no major contradictions detected"
58,1,"Consistent: High semantic alignment (sim=0.415), 65.0 supporting passages, no major contradictions detected"
59,1,"Consistent: High semantic alignment (sim=0.358), 8.0 supporting passages, no major contradictions detected"
60,1,"Consistent: High semantic alignment (sim=0.367), 68.0 supporting passages, no major contradictions detected"
